,q_Id,q_Title,q_body,q_ans_Id,ans_id,ans,q_Id_2
0,4,,"<p>You can turn off notification in your stock Messaging application by going into the settings dialog  (Menu button -> Settings) and unchecking Notifications</p>
",,2,"Beat me to it, eh?",4
1,5,Moto Droid v1 disabling primary Wireless AP,"<p>I have a Motorola DROID v1 that is running Froyo (2.2).  I've noticed that if my device sleeps for a while, when I wake it up it will not attempt to connect to the wireless AP in my home.  When I go to the wireless settings section, I see a note next to the AP entry that says 'disabled'.  If I click the entry and select 'connect', it connects right away.  It will remain connected until the next longish sleep, when it is again marked as disabled.</p>

<p>Is there any way to prevent this AP entry from being marked as disabled?</p>
",,45,Is your wireless network set to broadcast the SSID? I've heard of people having problems when this is hidden (and there is no real benefit to doing so),5
2,5,Moto Droid v1 disabling primary Wireless AP,"<p>I have a Motorola DROID v1 that is running Froyo (2.2).  I've noticed that if my device sleeps for a while, when I wake it up it will not attempt to connect to the wireless AP in my home.  When I go to the wireless settings section, I see a note next to the AP entry that says 'disabled'.  If I click the entry and select 'connect', it connects right away.  It will remain connected until the next longish sleep, when it is again marked as disabled.</p>

<p>Is there any way to prevent this AP entry from being marked as disabled?</p>
",,66,"No, it isn't hidden.  The security is set to WPA-PSK.",5
3,5,Moto Droid v1 disabling primary Wireless AP,"<p>I have a Motorola DROID v1 that is running Froyo (2.2).  I've noticed that if my device sleeps for a while, when I wake it up it will not attempt to connect to the wireless AP in my home.  When I go to the wireless settings section, I see a note next to the AP entry that says 'disabled'.  If I click the entry and select 'connect', it connects right away.  It will remain connected until the next longish sleep, when it is again marked as disabled.</p>

<p>Is there any way to prevent this AP entry from being marked as disabled?</p>
",,4108,Did you ever find a solution?,5
4,5,Moto Droid v1 disabling primary Wireless AP,"<p>I have a Motorola DROID v1 that is running Froyo (2.2).  I've noticed that if my device sleeps for a while, when I wake it up it will not attempt to connect to the wireless AP in my home.  When I go to the wireless settings section, I see a note next to the AP entry that says 'disabled'.  If I click the entry and select 'connect', it connects right away.  It will remain connected until the next longish sleep, when it is again marked as disabled.</p>

<p>Is there any way to prevent this AP entry from being marked as disabled?</p>
",,4414,No solution yet.,5
5,5,Moto Droid v1 disabling primary Wireless AP,"<p>I have a Motorola DROID v1 that is running Froyo (2.2).  I've noticed that if my device sleeps for a while, when I wake it up it will not attempt to connect to the wireless AP in my home.  When I go to the wireless settings section, I see a note next to the AP entry that says 'disabled'.  If I click the entry and select 'connect', it connects right away.  It will remain connected until the next longish sleep, when it is again marked as disabled.</p>

<p>Is there any way to prevent this AP entry from being marked as disabled?</p>
",,5012,"We just started seeing a similar issue on a droid 2 global today. For us, it won't connect the first time -- it just reads ""disabled"" rather than ""connected"". Using wpa2 psk, SSID is shown, NG mixed mode. I'll post if we solve it soon.",5
6,5,Moto Droid v1 disabling primary Wireless AP,"<p>I have a Motorola DROID v1 that is running Froyo (2.2).  I've noticed that if my device sleeps for a while, when I wake it up it will not attempt to connect to the wireless AP in my home.  When I go to the wireless settings section, I see a note next to the AP entry that says 'disabled'.  If I click the entry and select 'connect', it connects right away.  It will remain connected until the next longish sleep, when it is again marked as disabled.</p>

<p>Is there any way to prevent this AP entry from being marked as disabled?</p>
",,7580,"My wife's Droid 1 has problems connecting to our AP too.  Sleep Policy is set to ""Never"", but that hasn't helped.  Happens on all of the stock ROMs, CyanogenMod, and Sapphire.",5
7,9,Do I really need to install a task manager?,"<p>Does one really need to install a task manager? My phone does slowdown on rare occasions but it's not something that hampers regular usage.</p>
",22,19025,http://lifehacker.com/5862994/real-world-test-show-that-android-task-killers-are-still-useless,9
8,9,Do I really need to install a task manager?,"<p>Does one really need to install a task manager? My phone does slowdown on rare occasions but it's not something that hampers regular usage.</p>
",22,39501,See also: [How can I stop applications and services from running?](http://android.stackexchange.com/q/30332/1465),9
9,10,,"<p>The clearest answer I've seen is here: <a href=""http://www.droidforums.net/forum/droid-applications/8328-how-guide-disable-double-notifications-when-using-handcent-sms.html"" rel=""nofollow"">http://www.droidforums.net/forum/droid-applications/8328-how-guide-disable-double-notifications-when-using-handcent-sms.html</a></p>

<p>Quoting:</p>

<ol>
<li>Open the ""messaging"" from the app drawer</li>
<li>Push the ""menu"" button(the 2nd button from left on the bottom of your Droid</li>
<li>Click SETTINGS</li>
<li>Scroll down and UNCHECK ""Notifications""</li>
<li>To futher disable the mssaging app you can UNCHECK "" Auto-Retrieve""(this prevents the ""Messaging"" App from even downloading messages.</li>
<li>Exit the app. Rejoice. Live long and Prosper. Yay!</li>
</ol>
",,72,Did not know about Auto-Retrieve. Thought that was what enabled all apps to get the sms. Oy vei.,10
